there are 81540
xy: 564.0 414.0
xy: 564.2765 414.44946
xy: 564.5011 414.95673
xy: 564.6649 415.51572
xy: 564.7596 416.1191
xy: 564.7776 416.75833
xy: 564.7125 417.42386
xy: 564.5592 418.1051
xy: 564.31366 418.7908
xy: 563.9734 419.46896
xy: 563.5375 420.12714
xy: 563.0065 420.75262
xy: 562.3825 421.33264
xy: 561.66956 421.85452
xy: 560.873 422.3059
xy: 560.0 422.675
xy: 559.0592 422.95068
xy: 558.0609 423.12286
xy: 557.0165 423.18246
xy: 555.9387 423.12177
xy: 554.8417 422.9345
xy: 553.7401 422.61603
xy: 552.6496 422.16345
xy: 551.58636 421.57568
xy: 550.5669 420.85358
xy: 549.60767 420.0
xy: 548.72534 419.0198
xy: 547.93585 417.9199
xy: 547.25476 416.7091
xy: 546.6966 415.39825
xy: 546.275 414.0
xy: 546.0021 412.52878
xy: 545.88855 411.00055
xy: 545.94336 409.43274
xy: 546.17346 407.84406
xy: 546.5838 406.25418
xy: 547.17706 404.68362
xy: 547.9536 403.1534
xy: 548.9114 401.68488
xy: 550.04584 400.29932
xy: 551.35 399.0178
xy: 552.8143 397.86072
xy: 554.4268 396.84772
xy: 556.17334 395.9972
xy: 558.03723 395.3262
xy: 559.99994 394.85
xy: 562.0409 394.58197
xy: 564.1377 394.53323
xy: 566.26685 394.71255
xy: 568.4031 395.12613
xy: 570.52075 395.77734
xy: 572.59326 396.66678
xy: 574.5937 397.79196
xy: 576.49524 399.14746
xy: 578.2716 400.7248
xy: 579.89685 402.51242
xy: 581.34644 404.49582
xy: 582.59705 406.65765
xy: 583.62714 408.97778
xy: 584.4172 411.43353
xy: 584.95 413.99988
xy: 585.2112 416.6497
xy: 585.18896 419.35394
xy: 584.87494 422.0822
xy: 584.2638 424.8028
xy: 583.3539 427.48322
xy: 582.1469 430.0905
xy: 580.6484 432.59167
xy: 578.8674 434.9541
xy: 576.81665 437.14587
xy: 574.51263 439.1363
xy: 571.97516 440.89624
xy: 569.2274 442.3985
xy: 566.2958 443.6183
xy: 563.20935 444.53345
xy: 560.0002 445.125
xy: 556.70233 445.3772
